iter	Passed	Remaining
747	2216	746
748	2218	743
749	2221	740
750	2223	737
751	2226	734
752	2228	731
753	2231	728
754	2233	724
755	2236	721
756	2239	718
757	2243	716
758	2246	713
759	2248	710
760	2251	707
761	2253	703
762	2256	700
763	2258	697
764	2261	694
765	2263	691
766	2267	688
767	2270	685
768	2272	682
769	2276	679
770	2278	676
771	2281	673
772	2284	670
773	2286	667
774	2289	664
775	2292	661
776	2294	658
777	2297	655
778	2300	652
779	2303	649
780	2307	647
781	2310	644
782	2313	641
783	2315	638
784	2317	634
785	2320	631
786	2322	628
787	2324	625
788	2327	622
789	2331	619
790	2334	616
791	2336	613
792	2340	610
793	2343	607
794	2345	604
795	2347	601
796	2350	598
797	2352	595
798	2355	592
799	2359	589
800	2362	586
801	2365	583
802	2368	580
803	2370	577
804	2372	574
805	2375	571
806	2378	568
807	2381	565
808	2383	562
809	2385	559
810	2388	556
811	2391	553
812	2393	550
813	2396	547
814	2399	544
815	2402	541
816	2405	538
817	2407	535
818	2410	532
819	2412	529
820	2415	526
821	2417	523
822	2420	520
823	2423	517
824	2425	514
825	2428	511
826	2431	508
827	2433	505
828	2436	502
829	2439	499
830	2442	496
831	2444	493
832	2447	490
833	2450	487
834	2453	484
835	2456	481
836	2459	478
837	2462	476
838	2464	472
839	2467	470
840	2470	467
841	2472	464
842	2475	461
843	2478	458
844	2481	455
845	2484	452
846	2487	449
847	2490	446
848	2492	443
849	2495	440
850	2497	437
851	2500	434
852	2502	431
853	2505	428
854	2508	425
855	2510	422
856	2513	419
857	2516	416
858	2520	413
859	2522	410
860	2525	407
861	2528	404
862	2531	401
863	2533	398
864	2536	395
865	2539	392
866	2541	389
867	2544	386
868	2547	383
869	2549	380
870	2552	378
871	2555	375
872	2557	372
873	2560	369
874	2564	366
875	2567	363
876	2571	360
877	2573	357
878	2576	354
879	2580	351
880	2583	348
881	2586	345
882	2588	343
883	2591	340
884	2593	337
885	2596	334
886	2598	331
887	2602	328
888	2604	325
889	2607	322
890	2610	319
891	2612	316
892	2615	313
893	2618	310
894	2621	307
895	2624	304
896	2626	301
897	2629	298
898	2631	295
899	2634	292
900	2636	289
901	2638	286
902	2641	283
903	2644	280
904	2646	277
905	2650	275
906	2653	272
907	2656	269
908	2659	266
909	2662	263
910	2665	260
911	2667	257
912	2670	254
913	2673	251
914	2676	248
915	2680	245
916	2682	242
917	2685	239
918	2689	237
919	2692	234
920	2694	231
921	2697	228
922	2699	225
923	2701	222
924	2704	219
925	2707	216
926	2710	213
927	2713	210
928	2716	207
929	2719	204
930	2722	201
931	2724	198
932	2727	195
933	2730	192
934	2733	190
935	2736	187
936	2739	184
937	2743	181
938	2746	178
939	2748	175
940	2751	172
941	2753	169
942	2755	166
943	2758	163
944	2760	160
945	2764	157
946	2767	154
947	2769	151
948	2772	148
949	2775	146
950	2778	143
951	2781	140
952	2784	137
953	2787	134
954	2789	131
955	2792	128
956	2795	125
957	2798	122
958	2802	119
959	2804	116
960	2807	113
961	2810	110
962	2813	108
963	2816	105
964	2819	102
965	2821	99
966	2823	96
967	2827	93
968	2830	90
969	2832	87
970	2836	84
971	2838	81
972	2841	78
973	2843	75
974	2847	73
975	2849	70
976	2852	67
977	2855	64
978	2857	61
979	2860	58
980	2863	55
981	2865	52
982	2868	49
983	2871	46
984	2873	43
985	2875	40
986	2878	37
987	2881	34
988	2884	32
989	2886	29
990	2888	26
991	2890	23
992	2891	20
993	2893	17
994	2894	14
995	2896	11
996	2897	8
997	2899	5
998	2900	2
999	2901	0
