CID,Canonical_Name,Imax,log_vp
7770,PROPYL BUTYRATE,63.0,0.7896935343742371
7772,ISOAMYL PROPIONATE,45.0,0.4624827802181244
7775,ISOBUTYL HEXANOATE,44.0,-1.0587230920791626
7778,CITRONELLYL FORMIATE,59.0,-1.3404595851898191
7792,DIMETHYL OCTANOL,57.0,-1.5200233459472656
7794,CITRONELLAL,62.0,-0.7908384203910828
7795,ISOAMYL BUTYRATE,45.0,0.1266533434391021
7797,ETHYL HEPTANOATE,69.0,-0.2491350024938583
7799,ETHYL OCTANOATE NATURAL,40.0,-0.8280072808265686
7800,ETHYL LAURATE,28.0,-3.319838523864746
7802,3-HEPTANONE,65.0,0.1469385874387219
7803,PROPYL PROPIONATE,60.0,0.9585763812065125
7820,DIMETHYL SUCCINATE,40.0,-0.5228787452803376
7822,5-METHYLHEPTAN-3-ONE,58.0,0.3016082427886497
7824,METHYL CAPROATE,82.0,0.6989700043360189
7826,METHYL HEPTANOATE,49.0,0.1176346987485885
7852,PROPYL AMINE,90.0,2.4052966794421557
7865,METHYL FORMATE,47.0,2.681276955225496
7888,HYDROXYCITRONELLAL,35.0,-2.2063682079315186
7894,ISOPENTYLAMINE,100.0,1.1339759826660156
7895,"PENTANONE, '2-",68.0,1.0792169638522982
7909,4-METHYL-2-PENTANONE,62.0,1.1973162760681524
7915,ISOPROPYL ACETATE,81.0,1.5993728508517862
7916,ISOPROPENYL ACETATE,50.0,1.6532125137753435
7936,"2,4-LUTIDINE",78.0,0.7520484478194386
7937,"DIMETHYL PYRIDINE 2,6",88.0,0.7520484478194386
7938,"2,6-DIMETHYLPYRAZINE",71.0,0.6436697840690613
7945,ETHYL ISOVALERATE,69.0,0.734180212020874
7957,"2,6-DIMETHYLHEPTAN-4-OL",33.0,-0.6777807052660807
7958,COGNAC HEPTANONE,31.0,0.2368248183468151
7966,CYCLOHEXANOL,47.0,0.051188241217074
7976,2-METHYL PYRAZINE,69.5,1.3789267539978027
7981,BUTYL ISOVALERATE,53.0,-0.4881225526332855
7983,BUTYL BUTYRATE,73.0,0.1177010461688041
7984,SILVANONE,31.0,-4.492857933044434
7989,5-HEXEN-2-ONE,85.0,1.1165684461593628
7997,PROPYL ACETATE,71.0,1.3936109211619898
8007,1-BUTYLAMINE,100.0,1.912523479163557
8012,butyl mercaptan,85.0,1.4771569725243356
8025,ETHYL FORMATE,59.0,2.3891660843645326
8030,THIOPHENE,72.0,1.9014583213961125
8038,ISOBUTYL ACETATE,78.0,1.1131430843084342
8050,METHYL DECANOATE,28.0,-1.431798275933005
8051,2-HEPTANONE NATURAL,60.0,0.1761269768603544
8052,ISOAMYL FORMATE,78.0,0.9645190834999084
8063,VALERALDEHYDE,83.0,1.4065758982386285
8067,1-PENTANETHIOL,80.0,1.1399148043947178
8073,N-PROPYL FORMATE,39.0,1.5877121686935425
8077,DIETHYL DISULFIDE,63.0,1.5264891386032104
8078,CYCLOHEXANE,83.0,1.9890403335477491
8092,METHYL HEPTINE CARBONATE,44.5,-0.7396051287651062
8093,2-OCTANONE,62.33333333333334,0.1303337684950061
8094,HEPTANOIC ACID,55.0,-2.0109597513442803
8103,HEXANOL,36.0,-0.0314813333612247
8106,1-HEXANETHIOL,85.0,0.8906382918357849
8118,DIPROPYL SULFIDE,95.0,0.6730401515960693
8125,1-OCTENE,58.5,1.1761269768603544
8137,METHYL OCTINE CARBONATE,45.0,-1.327048659324646
8138,METHYL 10-UNDECENOATE,31.0,-2.2636516094207764
8139,METHYL LAURATE,28.0,-2.3861581781239307
8148,DIBUTYL AMINE,70.0,0.3064607454625849
8158,NONANOIC ACID,46.0,-2.7825160557860937
8164,OCTYL ACETATE,57.0,-0.9052547812461852
8167,DECYL ACETATE,18.0,-1.905019164085388
8174,DECANOL,52.0,-2.124902836414984
8176,OCTYL FORMATE,77.0,-1.0092859268188477
8180,undecanoic acid,24.0,-3.3719441890716557
8181,METHYL PALMITATE,62.0,-4.514134883880615
8184,UNDECANOL,33.5,-2.046779155731201
8185,10-UNDECEN-1-OL,39.0,-2.3873395919799805
8186,UNDECANAL,62.0,-1.1305011510849
8193,1-DODECANOL,38.0,-2.0109597513442803
8194,DODECANAL,59.0,-1.2184956073760986
8195,1-DODECANETHIOL,39.0,0.3936109209865317
8205,LAURYL ACETATE,31.0,-3.5433461666107178
8298,HOMOMENTHOL,45.0,-1.0
8314,2 METHYL BUTYRIC ACID,85.0,-0.3835424482822418
8347,VETIVER ACETATE,61.0,-4.235620498657227
8361,PHENYL SALICYLATE,33.0,-4.368008613586426
8363,BENZYL SALICYLATE,15.0,-4.107905397309519
8364,2-ETHYLHEXYL SALICYLATE,11.0,-4.069427013397217
8365,ETHYL SALICYLATE,55.0,-3.0608625411987305
8369,MALTOL,42.0,-2.3604824542999268
8400,BENZOIN OIL,11.0,-4.457677364349365
8405,ISOQUINOLINE,50.0,-1.2696248292922974
8419,VERATRALDEHYDE,30.0,-1.904006838798523
8432,STYRALLYL PROPIONATE,30.0,-1.6351699829101562
8452,CYCLOPENTANONE,32.0,1.0569048513364727
8456,3-TERT-BUTYL HYDROXY ANISOLE,16.0,-2.00867772102356
8468,P-VANILLIC ACID,12.0,-4.193241596221924
8471,TRIETHYL AMINE,100.0,1.73242947770806
8499,METHYL ANISATE,30.0,-1.875397562980652
8500,P-METHYL ACETOPHENONE,40.0,-0.8920972943305969
8655,SYRINGALDEHYDE,28.0,-3.885559558868408
8698,BUTYL BENZOATE,36.0,-2.0
8710,FLEURAMONE,47.0,-1.282217264175415
8712,O-THIOCRESOL,90.0,-0.0883098412461388
8723,2-METHYL-1-BUTANOL,70.0,0.4983462720078535
8738,BUTYL LACTATE,50.0,-0.3979400086720376
8785,BENZYL ACETATE,36.0,0.1538505816920877
8791,BENZYL LAURATE,4.0,-4.237582206726074
8792,PHENETHYL ISOVALERATE,40.0,-1.8362059593200684
8797,P-TOLYL ACETATE,43.0,-0.7828317880630493
8815,ESTRAGOLE,54.0,-0.8918328285217285
8834,CITRONELLYL PROPIONATE,35.0,-1.9034048318862915
8835,CITRONELLYL BUTYRATE,50.0,-2.5717203617095947
8842,CITRONELLOL 95,50.0,-1.6989700043360187
8857,ETHYL ACETATE,69.0,1.8750969812542744
8863,HYDROXYCITRONELLAL DIMETHYL ACETAL,24.0,-2.9313719272613525
8868,ETHYL ACETOACETATE,46.5,-0.1249030159085683
8878,ALLYL HEPTANOATE,50.0,-1.1764408349990845
8892,HEXANOIC ACID,80.0,-0.6935392652598539
8908,HEXYL ACETATE,41.0,0.1205739312058498
9016,"1,4 DIMETHOXYBENZENE",42.0,-0.8328977823257446
9024,DIMETHYL CARBINYL BENZYL ACETATE,52.0,-1.540028095245361
9256,THIAZOLE,82.0,1.6107096672058103
9261,PYRAZINE,47.5,1.938439965248108
9473,PIPERONYL ACETATE,40.0,-2.228923320770264
9589,3 ACETYL PYRIDINE,45.0,-0.5278635025024414
9609,DIETHYL SULFIDE,100.0,1.7795964912578246
10106,"1,4-CINEOLE",59.0,-0.1049047484993934
10285,METHYL QUINOLINE,56.0,-2.193820026016113
10315,BUTYROPHENONE,32.0,-0.85029536485672
10353,DIHYRDOTERPINEOL,52.5,-1.316448211669922
10364,CARVACROL,61.0,-1.4453579187393188
10400,CYCLOHEPTANONE,52.0,-0.3885520398616791
10402,CITRONELLIC ACID,29.0,-2.37430191040039
10409,CYCLOPENTADECANONE,33.0,-2.9514410495758057
10430,ISOVALERIC ACID,72.0,-0.3565473235138126
10448,METHIONOL,76.0,0.0281484611332416
10582,MYRTENOL,16.0,-1.3663415908813477
10722,O-TOLUALDEHYDE,35.0,-0.4791015088558197
10748,7-METHOXY COUMARINE,14.0,-2.547135591506958
10778,O-TOLYL ACETATE,47.0,-1.022315263748169
10795,ACETALDEHYDE DIMETHYL ACETAL,51.5,2.23345302204072
10797,2-METHYLFURAN,60.0,2.1522883443830563
10817,HAWTHORN CARBINOL,14.0,-1.2487318515777588
10823,3-ETHYLPYRIDINE,82.0,0.6334787607192993
10869,BENZYL METHYL ETHER,75.0,-0.0449198298156261
10873,BENZYL ETHYL ETHER,46.0,-0.630912184715271
10882,ETHYL VALERATE,65.0,0.7445357441902161
10883,ETHYL LEVULINATE,34.0,-0.7650694847106934
10885,ISOBUTYL BUTYRATE,29.0,0.2756450176239013
10886,AMYL HEXANOATE,45.0,-1.4627116918563845
10895,ISOBUTYL PROPIONATE,34.0,0.7999197840690613
10925,isoamyl mercaptan,80.0,1.4628061056137085
10947,MUSCONE DEXTRO LAEVO,37.0,-3.130825996398926
10957,ISOBUTYL FORMATE,76.0,1.4049738645553589
10975,MYRCENOL,35.5,-1.2900595664978027
10976,2-HEPTANOL,57.0,-0.0010513782936554
11002,DIBUTYL SULFIDE,72.0,0.381956934928894
11027,BETA-THUJONE,50.0,-0.9174955487251282
11039,METHYL ISOBUTYRATE,75.0,1.5125951766967771
11086,2-AMINOACETOPHENONE,35.0,-0.977116584777832
11124,METHYL PROPIONATE,70.0,1.8045159069447252
11160,METHYL ISOVALERATE,92.0,1.020476222038269
11173,PRENOL,49.0,0.0212250172881911
11176,PROPYL ISOVALERATE,50.0,-0.043750811368227
11230,TERPINEN-4-OL,35.0,-1.1673829555511477
11251,3-METHYL-2-BUTANONE,72.0,1.6154596707432545
11335,"2,6-DIMETHYLPHENOL",31.0,-0.562249437179612
11340,O-METHYLACETOPHENONE,55.0,-0.6491219997406006
11363,"1-PHENYL-1,2-PROPANEDIONE",47.0,-2.404745578765869
11419,2-METHYLCYCLOHEXANONE,64.5,-0.0435747317969799
11428,3-PENTANOL,79.0,0.7781869681883169
11463,TERPINOLENE,60.0,-0.1307682802690238
11505,4-METHYLBENZYL ALCOHOL,29.0,-1.275724130399211
11508,3-METHYL-1-PENTANOL,57.0,0.0171693209558725
11514,ISOBUTYL ISOVALERATE,27.0,-0.5013731718063354
11517,butyl N-octanoate,20.0,-1.786081075668335
11520,3-HEPTANOL,41.0,-0.0488727949559688
11525,4-METHYLCYCLOHEXANONE,57.0,-0.2429920583963394
11527,OCTANOL 3 NATURAL,55.0,-0.5409836769104004
11529,BUTYL PROPIONATE,35.0,0.4548805773560689
11559,ANGELICA LACTONE ALPHA,41.0,-0.2649317979812622
11567,3-METHYLCYCLOHEXANONE,65.0,-0.3387945890426636
11576,BUTYL ACETOACETATE,18.0,-1.2622014284133911
11583,2-HEXANONE,53.0,0.4313994826070069
11613,BUTYL ISOTHIOCYANATE,62.0,0.5783335566520691
11614,BUTYL FORMATE,78.0,1.337494979195159
11617,ALLYL SULFIDE,91.0,0.9647309210536292
11622,2-TRIDECANONE,25.0,-2.0908753871917725
11732,(+-)-3-METHYL-2-BUTANOL,69.0,0.5667017698287964
11747,ACETYL PROPIONYL,55.5,1.3016082425717914
11902,METHYL 2 FUROATE,79.0,0.1438678950071334
11980,ETHYL 2-FUROATE,37.0,-0.3017401099205017
11982,PROPYL 2-FUROATE,36.0,-0.8929901123046875
12020,1-PENTEN-3-OL,74.0,-0.0899505466222763
12041,ETHYL PYRUVATE,46.0,0.1672379821538925
12044,ISOPROPYL ISOBUTYRATE,48.0,0.9162402749061584
12072,CARHYDRANOL,31.0,-1.2940300703048706
12097,5 METHYL FURFURAL,45.0,-0.1744612753391266
12105,M-TOLUALDEHYDE,35.0,-0.7197107672691345
12146,CYCLOHEXYL ACETATE,75.0,1.039449836941152
12170,FURFURYL ACETATE,32.0,-0.3803303837776184
12177,2-METHYL-2-PENTENAL,82.0,1.1506201028823853
12180,METHYL BUTYRATE,65.0,1.5092025223311027
12206,METHYL VALERATE,67.5,0.8800991177558899
12209,2-METHYLBUTYL ACETATE,53.0,0.7310985922813416
12216,3-NONANOL,52.0,-0.8728113174438477
12217,PENTYL PROPIONATE,35.0,0.0463567748665809
12230,ETHYL METHYL SULFIDE,99.0,2.037639141082764
12257,ISOPROPYL FORMATE,58.0,2.0
12265,"2,5-DIMETHYLPYRROLE",40.0,1.3050858974456787
12266,"2,5-DIMETHYL FURAN",90.0,1.724275869600789
12278,1-METHYLBUTYL ACETATE,67.0,0.8435799297191787
12293,PROPYL HEXANOATE,33.0,-0.2232445925474167
12294,BUTYL HEXANOATE,43.0,-0.9144716262817384
12297,2-HEXANOL,42.0,-0.0284786075353622
12327,ETHYL UNDECANOATE,28.0,-2.518007516860962
12329,DIMETHYL ADIPATE,4.0,-1.5468496084213257
12344,5-METHYLHEXANOIC ACID,75.0,-0.9592323899269104
12348,PENTYL ACETATE,80.0,0.6880103376165321
12367,2-NONANOL,51.0,-1.0043669939041138
12377,DIPROPYL DISULFIDE,71.0,0.14546699821949
12385,"1,8 OCTANE DINITRILE",36.0,-0.5849825739860535
12506,TETRAHYDROFURFURYL ACETATE,29.0,-0.4789504110813141
12508,ISOPROPYL PROPIONATE,62.0,0.9466347098350524
12529,AMYL FORMATE,79.0,0.7525990009307861
12530,TRIDECANOIC ACID,14.0,-4.335258960723877
12570,2-PROPYLPHENOL,54.0,-1.291109561920166
12571,PROPYL ISOBUTYRATE,40.0,0.8873279094696045
12578,4-ISOPROPYLACETOPHENONE,26.0,-1.162096381187439
12580,4 PROPYL PHENOL,55.0,-1.4790246486663818
12613,ISOAMYL ISOVALERATE,51.0,-0.548888623714447
12729,ETHYL 10-UNDECENOATE,5.0,-2.5916380882263184
12748,4-METHYLTHIAZOLE,80.0,1.4213886260986328
12756,HEXALACTONE GAMMA,32.0,-0.3965262770652771
12769,"2,3,5-TRIMETHYLPHENOL",32.0,-1.285056233406067
12777,DELTA OCTALACTONE,34.0,-0.684684693813324
12844,DODECALACTONE DELTA,45.0,-1.5413579940795898
13016,BENZYL METHYL SULFIDE,79.0,0.1662836670875549
13187,2 NONANONE,50.0,-0.4617613554000854
13204,DELTA HEXALACTONE,28.0,-0.5535181760787964
13216,DECALINOL,42.0,-1.7263540029525757
13233,TROPICAL TRITHIANE,89.0,-0.4638645648956299
13357,METHYL 2 METHYL BUTYRATE,80.0,1.233806610107422
13436,DIPHENYL DISULFIDE,37.0,-1.3193055391311646
13561,6-UNDECANONE,45.0,-0.7881431579589844
13576,3-DECANONE,30.0,-0.7152060270309448
13654,ISOPROPYL BENZOATE,29.0,-1.2540735006332395
13663,ALPHA-NAPHTHYL METHYL KETONE,8.0,-1.8263658285140991
14079,2-ACETYL PYRROLE,20.0,0.1539888828992843
14228,HEXYL OCTANOATE,25.0,-2.8796236515045166
14235,MYRCENYL ACETATE,31.0,-2.4216244220733643
14257,UNDECANE,10.0,-0.3851027839668654
14286,ORTHO-ACETYL PYRIDINE,79.0,-0.5007657408714294
14295,2-PHENYL-1-PROPANOL,29.0,-1.3780707120895386
14296,TETRAMETHYL PYRAZINE,38.0,-0.6126400232315063
14328,"3',4'-DIMETHOXYACETOPHENONE",23.0,-1.9962713718414309
14491,HEXANE DITHIOL,67.0,0.0849120020866394
14505,2-ACETYLFURAN,45.0,0.2611981928348541
14511,3-METHYL-2-CYCLOHEXENONE,28.0,-0.299956351518631
14514,2-ACETYL 5-METHYL FURAN,49.0,-0.4488471448421478
14525,FENCHONE,50.0,-0.574705958366394
14529,CHERRY PROPANOL,45.0,-1.2494608163833618
15037,1-FURFURYL PYRROLE,58.0,-1.1969112157821655
15380,TRUFFLE SULFIDE,95.0,1.1073280572891235
15406,FENCHYL ALCOHOL,48.0,-1.3989105224609375
15435,COUMARONE,29.0,-0.3467517693850026
15448,2-UNDECANOL,17.0,-1.8563636541366575
15510,CYCLOPENTANETHIOL,85.0,1.5418528318405151
16237,ETHYL HYDROCINNAMATE,39.0,-1.3235398530960083
16255,ISO AMYL OCTANOATE,25.0,-2.3170413970947266
16296,AMYL BENZOATE,22.0,-1.896375298500061
16299,AMYL SALICYLATE,48.0,-3.645777463912964
16324,ALLYL BUTYRATE,55.0,0.5608770251274109
16330,BUTYL SALICYLATE,45.0,-3.4537856578826904
16331,BUTYL LEVULINATE,28.0,-1.680402159690857
16441,PERILLA ALDEHYDE,58.0,-0.9636843204498292
16582,2-ISOBUTOXYNAPHTHALENE,28.0,-1.7931859493255615
16591,ALLYL PROPYL DISULFIDE,75.0,-0.4259330173626664
16678,6-TERT-BUTYL-O-CRESOL,31.0,-1.470012903213501
16724,CARVONE-D,55.0,1.1903316981702914
16821,DODECALACTONE GAMMA,30.0,-1.646992564201355
16832,ISOPROPYL HEXANOATE,27.0,-0.0705242902040481
16846,PROPYL BENZOATE,32.0,-1.2421225309371948
16867,2 METHYL 2 THIAZOLINE,87.5,1.3994284868240356
16872,HEXYL ISOBUTYRATE,39.0,-0.8929876089096069
17004,2-TERT-BUTYL-4-METHYLPHENOL,78.0,-1.6020599913279625
17092,CLONAL,57.5,-0.9791945815086364
17100,ALPHA-TERPINEOL,27.0,-1.3736596326249575
17121,1 OCTENYL ACETATE,60.0,-1.118627667427063
17129,2-METHYLBUTYL 2-METHYLBUTYRATE,50.0,-0.6881412267684937
17355,BENZYL ACETONE,45.0,-0.8007099628448486
17365,ETHYL PHENOXYACETATE,59.0,-1.856410264968872
17586,SEC-BUTYL ETHYL ETHER,60.0,1.712597131729126
17617,ALLYL CYCLOHEXYL PROPIONATE,47.0,-1.8733421564102173
17623,METHYL N-ACETYLANTHRANILATE,8.0,-3.3085193634033203
