CID,Name,rdkit_MolWt,rdkit_MolLogP,rdkit_TPSA,rdkit_NumHDonors,rdkit_NumHAcceptors,rdkit_NumRotatableBonds,rdkit_RingCount,rdkit_NumAromaticRings,rdkit_FractionCSP3,rdkit_HeavyAtomCount,has_aldehyde,has_alpha_beta_unsat_aldehyde,has_ketone,has_ester,has_alcohol,has_phenol,has_carboxylic_acid,has_sulfur,has_nitrogen,has_aromatic_ring
31225,phenylethyl propionate ,178.23100000000002,2.1822999999999997,26.3,0.0,2.0,4.0,1.0,1.0,0.36363636363636365,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
31234,3-phenylpropyl alcohol ,136.194,1.6115000000000002,20.23,1.0,1.0,3.0,1.0,1.0,0.3333333333333333,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
31244,anis aldehyde,136.14999999999998,1.5076999999999998,26.3,0.0,2.0,2.0,1.0,1.0,0.125,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31251,ethyl nonanoate,186.295,3.3001000000000023,26.3,0.0,2.0,8.0,0.0,0.0,0.9090909090909091,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31253,myrcene ,136.238,3.4750000000000023,0.0,0.0,0.0,4.0,0.0,0.0,0.4,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31260,isoamyl alcohol ,88.14999999999999,1.0248,20.23,1.0,1.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
31265,ethyl hexanoate ,144.21399999999997,2.1298000000000004,26.3,0.0,2.0,5.0,0.0,0.0,0.875,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31266,allyl hexanoate ,156.22499999999997,2.2959000000000005,26.3,0.0,2.0,6.0,0.0,0.0,0.6666666666666666,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31272,butyl acetate ,116.15999999999998,1.3496000000000001,26.3,0.0,2.0,3.0,0.0,0.0,0.8333333333333334,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31276,isoamyl acetate ,130.18699999999998,1.5956000000000001,26.3,0.0,2.0,3.0,0.0,0.0,0.8571428571428571,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31289,nonanal ,142.242,2.935900000000001,17.07,0.0,1.0,7.0,0.0,0.0,0.8888888888888888,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32052, beta-damascone,192.30199999999996,3.6582000000000026,17.07,0.0,1.0,2.0,1.0,0.0,0.6153846153846154,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36081,p-tert-butylcyclohexyl acetate ,198.30599999999998,3.1544000000000016,26.3,0.0,2.0,1.0,1.0,0.0,0.9166666666666666,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42745,isononyl acetate ,186.29499999999996,3.0119000000000016,26.3,0.0,2.0,4.0,0.0,0.0,0.9090909090909091,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
60985,citronellyl isobutyrate ,226.35999999999996,3.9582000000000033,26.3,0.0,2.0,7.0,0.0,0.0,0.7857142857142857,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
60995,phenylacetaldehyde dimethyl acetal ,166.21999999999997,1.8479999999999999,18.46,0.0,2.0,4.0,1.0,1.0,0.4,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
61005,phenoxy ethyl isobutyrate,208.257,2.2646000000000006,35.53,0.0,3.0,5.0,1.0,1.0,0.4166666666666667,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
61007,anisyl acetone ,178.231,2.2168,26.3,0.0,2.0,4.0,1.0,1.0,0.36363636363636365,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
61016,melonal ,140.22599999999997,2.567800000000001,17.07,0.0,1.0,4.0,0.0,0.0,0.6666666666666666,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61031,2-methyl undecanal ,184.323,3.962100000000003,17.07,0.0,1.0,9.0,0.0,0.0,0.9166666666666666,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61040,linalyl formate ,182.263,2.850500000000001,26.3,0.0,2.0,6.0,0.0,0.0,0.5454545454545454,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
