CID,Name,log_vp,vp
12844,delta-dodecalactone ,-2.1531264781951904,0.00702867596189101
14235,myrcenyl acetate ,-2.1520137786865234,0.007046707118079608
14489,prenyl acetate ,0.42863067984580994,2.6830618233893175
14896,beta-pinene ,0.4668676203541095,2.93
15406,fenchyl alcohol ,-1.133504867553711,0.07353517536386625
16299,amyl salicylate ,-3.320841073989868,0.00047770405301361706
16441,perillaldehyde ,-1.0824792385101318,0.0827029043826658
16666,l-menthol ,-1.1958605676646494,0.06370000000000002
16821,gamma-dodecalactone ,-2.0962088108062744,0.008012927054955297
17100,alpha-terpineol ,-1.3736596326249577,0.0423
17121,1-octen-3-yl acetate ,-1.3786684274673462,0.04181494910619137
17525,hexyl butyrate ,-0.7225257754325867,0.1894411077482319
17617,allyl cyclohexane propionate ,-1.877161979675293,0.013268994690972208
17739,dihydro eugenol ,-1.5544841289520264,0.027894325927251308
18698,delta-nonalactone ,-0.6152116656303406,0.24254277065624288
18756,ocimene ,0.13884924352169037,1.376731481661424
18827,1-octen-3-ol ,-0.4310036301612854,0.37067762336609217
18938,"3,5,5-trimethyl-1-hexanol ",-0.647781755398789,0.22501851000000003
19089,phenyl ethyl methyl ether,-0.8121501803398132,0.15411674204571998
20487,octahydrocoumarin ,-0.8701922297477722,0.13483659295444056
20739,folrosia,-1.2507750988006592,0.056133859229657065
21059,ethyl maltol,-1.6131763458251953,0.02436821143137102
21648,raspberry ketone ,-2.2087557315826416,0.0061836410050391385
21895,"2-(phenylmethyl)-1,3-dioxan-5-ol ",-1.8786489963531494,0.013223639578079616
22310,linalool oxide ,-1.616804599761963,0.024165478568132694
22311,limonene,0.1903316981702915,1.55
22629,hexyl salicylate ,-3.51963472366333,0.000302249280941447
24020,ethyl 2-methyl butyrate ,0.8927711248397827,7.812159917160736
24117,allyl phenoxyacetate ,-3.168635845184326,0.0006782099465709017
24915,dimethyl benzyl carbinyl butyrate ,-2.4822628498077393,0.0032941028151396968
25612,decenol ,-2.0103042125701904,0.009765529300841505
26447,l-menthone ,-0.6916368007659912,0.2034057376202227
26955,beta-ionone ,-1.2676062401770316,0.053999999999999986
27866,rose oxide ,-3.9113078117370605,0.00012265695762196327
29096,dihydro myrcenol ,-1.0870730876922607,0.08183270597689263
31209,amyl cinnamaldehyde ,-2.19407057762146,0.006396308799953698
31219,benzyl propionate ,-1.7558501958847046,0.017544855839856852
31225,phenylethyl propionate ,-1.7867236137390137,0.01634091557634671
31234,3-phenylpropyl alcohol ,-1.630784142589857,0.023400000000000008
31244,anis aldehyde,-1.4828041020500258,0.03289999999999999
31251,ethyl nonanoate,-1.4446011781692505,0.035925169165579356
31253,myrcene ,0.32014628611105395,2.09
31260,isoamyl alcohol ,0.4771569725243357,3.00024674
31265,ethyl hexanoate ,0.11864431202411652,1.3141481016287988
31266,allyl hexanoate ,-0.5691897869110107,0.2696560776486711
31272,butyl acetate ,0.9542782272439981,9.00074022
31276,isoamyl acetate ,0.7481880270062004,5.599999999999999
31289,nonanal ,-0.431798275933005,0.37
32052, beta-damascone,-1.1818821430206299,0.06578363339457727
36081,p-tert-butylcyclohexyl acetate ,-2.057096242904663,0.008768064927369316
42745,isononyl acetate ,-1.8295915126800537,0.01480500257700389
60985,citronellyl isobutyrate ,-1.9177906513214111,0.012083961938380508
60995,phenylacetaldehyde dimethyl acetal ,-0.8068710565567017,0.1560015607779459
61005,phenoxy ethyl isobutyrate,-2.805955410003662,0.0015633081427828038
61007,anisyl acetone ,-1.8395787477493286,0.014468424829195534
61016,melonal ,-0.280669629573822,0.5239988941244508
61031,2-methyl undecanal ,-1.2384260892868042,0.05775291515575555
61040,linalyl formate ,-1.9422056674957275,0.011423372335624463
61041,safranal ,-0.8476284146308899,0.14202721967091947
61204,delta-undecalactone ,-1.8071645498275757,0.015589617159389847
61334,furaneol ,-3.4634006023406982,0.0003440324416152972
61585,celestolide ,-3.425933990103397,0.00037502999999999994
62098,heliotropyl acetone ,-2.861567497253418,0.0013754110297984385
62334,o-tert-butylcyclohexyl acetate ,-1.4272942543029785,0.0373857197151395
62341,styrallyl acetate ,-1.3263198137283325,0.04717155427958161
62378,dihydro jasmone ,-1.0154818296432495,0.09649796845458762
62902,manzanate ,0.21481908857822418,1.639906504977212
64685,borneol ,-1.2992962828549806,0.050200000000000015
64805,helional ,-2.9305977821350098,0.0011732814864449774
64813,canthoxal ,-1.9971442222595215,0.010065973384464267
65575,cedrol ,-2.543104648590088,0.002863487894186939
80865,fructone,-0.22914056479930878,0.5900100851775906
83268,dimetol ,-0.6061041951179504,0.24768277504728844
