,CID,bp_value,bp_source
288,110914,202.19655955283804,predicted
289,5325830,185.01238288350612,predicted
290,11463,184.0,experimental
291,111037,214.40509007330286,predicted
292,19871663,185.01238288350612,predicted
293,7792,144.77291557523586,predicted
294,6548,184.01420593164187,predicted
295,89440,264.51371546767825,predicted
296,5283345,154.072776057969,predicted
297,5318042,159.0,experimental
298,5281168,141.5915787090305,predicted
299,2733294,165.5,experimental
300,5702654,137.32472198740584,predicted
301,110655,281.5274362720553,predicted
302,44153588,297.5716410824124,predicted
303,106745,273.5928839276278,predicted
304,86579,277.6280504410313,predicted
305,93375,149.24923537473114,predicted
306,166523,224.14217066141669,predicted
307,8186,176.68032790122362,predicted
308,163336,185.01238288350612,predicted
309,9855795,185.01238288350612,predicted
310,1183,285.5,experimental
311,5463762,207.3757037551262,predicted
