Eig07_AEA_dm_,HTm,Eig09_AEA_ri_,ATS6m,Mor11u,SpDiam_X,Psi_i_0d,SpMaxA_AEA_dm_,P_VSA_v_2,Mor17v,BP,log_vp,vp
-0.419,2.615,-0.738,2.152,-0.93,2.0,-0.004,0.368,36.145,-0.384,188.5,-0.3242357969284057,0.4739845690222347
-0.075,2.859,-0.482,2.299,-0.951,2.0,0.002,0.335,36.145,-0.443,207.0,-0.7480083703994751,0.1786453143213662
-1.374,1.877,0.0,1.178,-0.603,2.0,0.025,0.525,36.145,-0.204,123.0,0.6847876906394958,4.839357327474257
-0.501,3.589,-0.28,2.48,-1.669,2.0,0.002,0.303,67.828,-0.508,241.0,-2.033057451248169,0.0092670722451934
-1.607,3.667,0.0,0.0,-0.62,1.879,-0.043,0.532,36.145,-0.24,207.5,-0.3010299956639812,0.5
,,,,,,,,,,185.0123828835061,-3.911307811737061,0.0001226569576219
-1.0,2.609,0.0,1.443,-0.934,2.0,-0.013,0.461,36.145,-0.275,132.0,0.7957959175109863,6.248789823289878
-0.67,2.27,-0.984,1.94,-0.986,2.0,0.007,0.409,36.145,-0.35,166.667,-0.0209476463496685,0.9529110293190576
-1.417,2.292,0.0,0.994,-0.599,2.0,0.025,0.518,36.145,-0.233,117.278,1.1131430843084342,12.97606715
0.269,3.254,0.197,2.541,-1.077,2.0,0.001,0.283,36.145,-0.625,243.0,-1.994586944580078,0.0101254202034982
0.0,1.596,0.0,1.146,-0.927,2.0,-0.035,0.317,42.683,-0.313,156.5,-0.0314813333612247,0.93007649
-1.829,1.772,0.0,1.506,-0.991,2.0,0.019,0.275,42.683,-0.367,175.5,-0.94881177036316,0.11250925
-1.784,2.281,0.0,1.462,-1.068,2.0,0.021,0.42,25.145,-0.337,152.5,0.4771212547196624,3.0
-0.096,3.395,-0.478,2.254,-1.082,2.0,0.002,0.344,36.145,-0.447,166.26961744998448,-1.267223238945007,0.0540476432231056
-0.116,2.884,-0.323,2.28,-1.483,2.0,0.002,0.324,25.145,-0.474,232.0,-0.9413870573043824,0.1144492478023888
-0.079,3.09,-0.362,2.299,-0.98,2.0,0.002,0.33,36.145,-0.465,208.5,-0.8097684979438782,0.1549642440625624
-0.74,2.336,-0.695,2.152,-0.661,2.0,-0.003,0.196,42.683,-0.574,230.0,-2.124902836414984,0.0075006199999999
-0.562,2.766,-0.673,2.129,-1.132,2.0,-0.003,0.294,25.145,-0.444,208.333,-0.9871627752948278,0.103
-0.234,2.976,-0.399,2.28,-1.095,2.0,0.002,0.267,25.145,-0.572,176.68032790122362,-1.1891160011291504,0.0646969785439716
-0.227,3.109,-0.399,2.259,-0.767,2.0,0.002,0.267,25.145,-0.495,216.6031199692054,-1.2018903493881226,0.0628216950922367
-0.137,2.702,-0.159,2.428,-1.118,2.0,-0.001,0.164,42.683,-0.619,258.889,-2.0109597513442803,0.0097507999999999
0.042,3.116,-0.117,2.41,-1.304,2.0,-0.001,0.245,25.145,-0.575,244.1497855484213,-1.441737413406372,0.0361628447227925
0.137,3.752,0.0,2.69,-1.452,2.0,0.001,0.296,36.145,-0.425,220.0,-2.346751779035197,0.00450037
1.254,6.375,0.692,2.823,0.345,2.0,0.0,0.205,78.828,0.027,265.46821618714864,-4.107905397309519,7.800000000000007e-05
0.091,4.262,-0.48,1.943,-0.218,2.0,0.003,0.307,78.828,-0.004,234.0,-2.052671194076538,0.0088578598780202
-0.896,4.03,-1.068,0.028,-0.112,2.0,-0.017,0.4,78.828,0.071,92.778,-1.6852163076400757,0.0206435171477129
0.38,3.714,0.0,2.387,-0.603,2.0,-0.001,0.286,36.145,-0.257,192.40925826969408,-1.895213842391968,0.0127287617480139
-0.322,4.288,-0.563,1.501,0.219,1.962,-0.004,0.276,47.145,0.03,264.0,-2.0,0.01
-0.23,4.936,-0.275,2.063,-0.485,2.0,0.003,0.265,78.828,0.011,289.5,-4.982966660701219,1.0400000000000009e-05
0.705,5.41,0.26,2.495,-0.162,1.967,0.001,0.267,47.145,-0.433,267.5,-1.9650077819824217,0.0108390749165925
-0.027,3.661,-0.37,2.023,0.097,2.0,0.002,0.304,47.145,0.013,244.5,-2.2246203422546387,0.005961830956322
-0.307,3.518,-0.448,1.222,0.098,2.0,-0.005,0.334,69.042,0.012,239.5,-1.5670307091255944,0.0270999999999999
-0.182,3.493,-0.311,2.061,0.347,2.0,-0.004,0.33,36.145,-0.119,213.5,0.1538505816920877,1.4251172
-0.182,3.784,-0.372,1.724,-0.13,2.0,-0.004,0.332,36.145,-0.076,210.0,-0.6686186194419861,0.2144773230980574
0.0,1.822,0.0,0.385,-0.304,2.0,-0.052,0.594,36.145,-0.092,156.12329851037612,1.395902395248413,24.8829802726062
-0.374,2.862,-0.656,2.216,-1.292,2.0,-0.003,0.268,42.683,-0.487,137.2440097530964,-1.6989700043360187,0.02
0.0,1.76,0.0,0.062,-0.396,2.0,0.086,0.725,36.145,-0.146,77.0,1.8750969812542744,75.00616851
-0.767,3.626,0.0,1.452,-0.594,2.0,-0.016,0.476,61.29,-0.197,180.5,-0.1249030159085683,0.75006169
-0.152,3.052,-0.4,2.299,-0.811,2.0,0.002,0.335,36.145,-0.345,211.0,-0.8523262143135071,0.1404991787464622
-0.616,2.655,-0.972,1.979,-0.893,2.0,0.007,0.403,36.145,-0.36,169.0,0.1205739312058498,1.32
-1.101,2.161,-0.907,1.98,-1.025,2.0,0.006,0.217,42.683,-0.479,215.0,-1.6439741428068773,0.0227
0.11,4.22,0.0,2.749,-1.378,2.0,0.001,0.279,36.145,-0.534,229.0,-1.889777898788452,0.0128890853994405
0.173,4.138,0.0,2.591,-0.561,2.0,0.001,0.27,36.145,-0.337,235.04841686632187,-1.8040401935577397,0.0157021747541506
-1.0,2.463,-0.26,1.736,-1.248,2.0,-0.003,0.318,42.683,-0.459,206.5,-1.0775492191314695,0.0836470792113038
0.0,1.433,0.0,0.062,-0.419,2.0,0.076,0.599,22.0,-0.171,64.5,2.23345302204072,171.17999999999992
0.738,4.862,0.8,3.293,-2.967,1.983,0.0,0.214,25.145,-0.823,324.5,-2.900364637374878,0.001257868850823
-0.435,2.028,-0.77,1.357,-1.349,2.0,0.005,0.323,0.0,-0.228,184.0,-0.1307682802690238,0.74
0.0,1.932,0.0,0.436,-0.467,2.0,-0.046,0.612,36.145,-0.177,102.5,1.5092025223311027,32.29999999999999
-1.205,3.448,0.0,0.321,-0.778,1.913,0.023,0.466,36.145,-0.307,183.05663555630863,-0.3243433833122253,0.4738671648826754
-0.07,3.894,-0.28,2.279,-1.088,2.0,0.002,0.309,36.145,-0.335,181.82103085342624,-1.3536196947097778,0.0442976110234136
0.158,4.202,-0.335,2.279,-1.202,1.977,0.002,0.311,36.145,-0.538,203.22017382524663,-1.3139410018920898,0.0485354430191911
0.572,4.282,0.229,2.526,-1.017,2.0,0.001,0.265,36.145,-0.457,211.7614722045965,-2.1531264781951904,0.007028675961891
0.055,4.021,0.0,2.655,-1.185,2.0,0.001,0.29,36.145,-0.373,281.6178051046554,-2.1520137786865234,0.0070467071180796
-0.654,2.561,0.0,1.863,-0.256,2.0,-0.014,0.454,36.145,-0.221,151.5,0.4286306798458099,2.683061823389317
,,,,,,,,,,185.01238288349884,0.4668676203541095,2.93
-1.0,2.559,-0.435,0.204,-2.252,1.93,-0.003,0.319,42.683,-0.546,201.5,-1.133504867553711,0.0735351753638662
0.564,5.109,0.238,2.571,-0.716,2.0,0.0,0.246,78.828,-0.195,268.0,-3.320841073989868,0.0004777040530136
-0.683,3.295,-0.489,1.622,-1.38,2.0,-0.004,0.288,25.145,-0.208,239.0,-1.0824792385101318,0.0827029043826658
-1.0,2.694,-0.557,1.455,-1.308,2.0,-0.003,0.277,42.683,-0.554,216.111,-1.1958605676646494,0.0637
0.625,4.588,0.253,2.526,-1.18,1.986,0.001,0.266,36.145,-0.675,234.8072409754732,-2.0962088108062744,0.0080129270549552
-0.733,2.485,-0.26,1.676,-1.101,2.0,-0.003,0.319,42.683,-0.351,191.9493620861169,-1.3736596326249575,0.0423
-0.087,3.176,-0.405,2.345,-1.327,2.0,0.002,0.333,36.145,-0.348,193.922595977126,-1.3786684274673462,0.0418149491061913
-0.076,2.706,-0.495,2.295,-1.25,2.0,0.002,0.335,36.145,-0.439,205.0,-0.7225257754325867,0.1894411077482319
0.875,3.773,0.0,2.645,-0.458,2.0,0.001,0.263,36.145,-0.436,255.1277151863628,-1.877161979675293,0.0132689946909722
-0.255,3.955,-0.39,2.055,-0.576,2.0,0.002,0.262,53.683,-0.141,153.96745185877307,-1.5544841289520264,0.0278943259272513
-0.335,3.688,-0.42,1.982,-1.074,2.0,-0.003,0.338,36.145,-0.287,179.41092548330153,-0.6152116656303406,0.2425427706562428
-0.944,2.396,-0.883,1.973,-0.8,2.0,0.007,0.304,0.0,-0.335,158.113384135371,0.1388492435216903,1.376731481661424
-1.271,2.119,0.0,1.737,-1.011,2.0,-0.012,0.349,42.683,-0.334,175.63701784945226,-0.4310036301612854,0.3706776233660921
-1.0,2.476,-0.862,1.901,-1.867,2.0,0.006,0.348,42.683,-0.474,178.5763759535189,-0.647781755398789,0.22501851
-0.945,2.63,-0.896,1.709,-0.272,2.0,0.007,0.274,11.0,-0.234,186.0,-0.8121501803398132,0.1541167420457199
-0.334,4.07,-0.198,1.215,-0.612,2.0,-0.003,0.31,36.145,-0.25,173.98531070623733,-0.8701922297477722,0.1348365929544405
-1.0,2.369,-0.78,1.551,-1.003,2.0,0.006,0.281,42.683,-0.41,147.2950244250161,-1.2507750988006592,0.056133859229657
-0.779,4.571,-0.724,0.552,-0.339,2.0,0.009,0.361,78.828,0.056,161.98976213692453,-1.613176345825195,0.024368211431371
0.093,4.254,-0.04,2.258,-0.265,2.0,0.002,0.297,67.828,-0.177,200.0,-2.2087557315826416,0.0061836410050391
1.0,4.59,0.08,2.564,0.402,1.981,0.001,0.222,64.683,-0.436,233.4891599879437,-1.8786489963531492,0.0132236395780796
-0.581,2.961,-0.327,1.937,-1.289,1.951,0.002,0.318,53.683,-0.396,193.5,-1.616804599761963,0.0241654785681326
-0.749,2.039,-0.77,1.335,-1.411,2.0,0.006,0.312,0.0,-0.264,177.778,0.1903316981702915,1.55
0.873,5.323,0.624,2.691,-0.793,2.0,0.0,0.23,78.828,-0.24,270.8856345023911,-3.51963472366333,0.0003022492809414
-1.125,2.398,0.0,1.235,-1.192,2.0,-0.013,0.473,36.145,-0.367,132.5,0.8927711248397827,7.812159917160736
0.937,4.97,0.0,2.596,-0.066,2.0,0.001,0.265,47.145,-0.169,272.2495832034085,-3.168635845184326,0.0006782099465709
0.765,4.397,0.41,2.925,-0.795,2.0,0.0,0.238,36.145,-0.447,254.0,-2.4822628498077397,0.0032941028151396
-0.666,2.476,-0.695,2.129,-0.528,2.0,-0.003,0.203,42.683,-0.456,196.6843248020267,-2.0103042125701904,0.0097655293008415
-0.892,3.077,-0.453,1.437,-1.903,2.0,-0.003,0.343,25.145,-0.427,208.5,-0.6916368007659912,0.2034057376202227
0.117,3.692,0.0,2.765,-1.56,2.0,0.001,0.262,25.145,-0.517,271.0,-1.2676062401770316,0.0539999999999999
,,,,,,,,,,185.0123828835061,-3.911307811737061,0.0001226569576219
-1.0,2.634,-0.494,2.341,-1.334,2.0,-0.004,0.333,42.683,-0.413,228.5036990172509,-1.0870730876922607,0.0818327059768926
0.667,5.069,0.401,2.828,-0.689,2.0,0.0,0.205,25.145,-0.404,228.3544977807287,-2.19407057762146,0.0063963087999536
0.063,3.567,-0.202,2.301,-0.013,2.0,0.002,0.307,36.145,-0.12,221.0,-1.7558501958847046,0.0175448558398568
0.425,3.963,0.0,2.429,-0.303,2.0,-0.001,0.283,36.145,-0.244,244.5,-1.7867236137390137,0.0163409155763467
-1.0,2.962,-0.857,1.772,-0.066,2.0,0.007,0.272,42.683,-0.252,235.5,-1.630784142589857,0.0234
-0.992,3.414,-0.841,1.431,0.181,2.0,0.008,0.301,36.145,0.011,248.5,-1.4828041020500258,0.0328999999999999
0.132,3.039,-0.151,2.427,-0.962,2.0,-0.001,0.307,36.145,-0.521,257.92166956005974,-1.4446011781692505,0.0359251691655793
-1.003,2.456,-0.883,1.966,-0.496,2.0,0.007,0.302,0.0,-0.361,166.5,0.3201462861110539,2.09
0.0,1.637,0.0,0.042,-1.107,2.0,0.067,0.45,42.683,-0.269,132.0,0.4771569725243357,3.00024674
-0.827,2.435,-0.947,1.979,-0.929,2.0,0.007,0.409,36.145,-0.327,167.0,0.1186443120241165,1.3141481016287988
