,CID,Canonical_Name,Imax,vp_exp,predicted_log_vp,vp_source,log_vp
156,7438,LAEVO-CARVEOL,20.0,,-1.3270095586776733,predicted,-1.3270095586776733
157,7460,A PHELLANDRENE,55.0,,0.183026984333992,predicted,0.183026984333992
158,7461,GAMMA-TERPINENE,50.0,,0.14848612248897552,predicted,0.14848612248897552
159,7462,TERPINENE ALPHA,58.0,,-0.005762821529060602,predicted,-0.005762821529060602
160,7463,PARA-CYMENE,55.0,1.50012337,0.0,experimental,0.17612697686035447
161,7465,4-ISOPROPYLPHENOL,34.0,,-1.3764381408691406,predicted,-1.3764381408691406
162,7476,ACETANISOLE,20.0,0.00644,0.0,experimental,-2.191114132640188
163,7500,ETHYLBENZENE,71.0,6.75055517,0.0,experimental,0.8293394909573714
164,7501,STYRENE,80.0,5.02541329,0.0,experimental,0.7011717839404096
166,7505,BENZONITRILE,66.0,0.76506292,0.0,experimental,-0.11630284630375312
167,7531,DIMETHYL BENZYL CARBINOL,19.0,,-1.2181891202926636,predicted,-1.2181891202926636
168,7559,METHYL PHENYL ACETATE,68.0,0.13,0.0,experimental,-0.8860566476931632
170,7562,"2-BENZYL-1,3-DIOXOLANE",28.0,,-0.9261577129364014,predicted,-0.9261577129364014
171,7583,PHENYL OXIDE,46.0,0.0213,0.0,experimental,-1.6716203965612624
172,7584,AMYL CINNAMIC ALCOHOL - IFF,20.0,,-2.278247117996216,predicted,-2.278247117996216
173,7590,ETHYL PHENYL ACETATE,62.0,,-1.0323333740234375,predicted,-1.0323333740234375
174,7593,DIBENZYL KETONE,33.0,,-2.3752129077911377,predicted,-2.3752129077911377
175,7601,PHENYL ETHYL PHENYL ACETATE,20.0,,-3.1663310527801514,predicted,-3.1663310527801514
176,7633,DIMETHYL PHENYL ETHYL CARBINYL ACETATE,30.0,,-1.8956656455993652,predicted,-1.8956656455993652
177,7635,2 ETHYL HEXYL ACETATE,65.0,0.23,0.0,experimental,-0.638272163982407
178,7643,METHYL 3-PHENYLPROPIONATE,34.0,,-1.2185217142105103,predicted,-1.2185217142105103
179,7646,BENZYL ISOBUTYRATE,40.5,,-1.7102899551391602,predicted,-1.7102899551391602
180,7650,BENZYL BUTYRATE,65.0,,-1.746847152709961,predicted,-1.746847152709961
181,7651,BENZYL ISOVALERATE,60.5,,-1.760762095451355,predicted,-1.760762095451355
182,7654,PHENYL ETHYL ACETATE,27.0,,-1.1048433780670166,predicted,-1.1048433780670166
183,7655,PHENYL ETHYL ISOBUTYRATE,29.0,,-1.9016449451446533,predicted,-1.9016449451446533
184,7657,DIBENZYL ETHER,4.0,1.0,0.0,experimental,0.0
185,7662,3-PHENYLPROPYL ISOBUTYRATE,45.0,,-2.1950607299804688,predicted,-2.1950607299804688
186,7695,ANISYL ACETATE,27.0,,-2.0462605953216553,predicted,-2.0462605953216553
187,7702,DIHYDROANETHOL,37.0,,-0.8532006144523621,predicted,-0.8532006144523621
188,7704,OCTALACTONE GAMMA,31.5,,-0.6815367341041565,predicted,-0.6815367341041565
189,7707,PHENYL PROPIONALDEHYDE,61.0,,-0.8300777673721313,predicted,-0.8300777673721313
190,7708,BENZYL FORMATE,60.5,,-0.9682978987693787,predicted,-0.9682978987693787
191,7711,PHENYL ETHYL FORMATE,40.0,,-0.9374600648880005,predicted,-0.9374600648880005
192,7714,GAMMA-UNDECALACTONE NATURAL,48.0,,-1.5506620407104492,predicted,-1.5506620407104492
193,7738,ANISE ALCOHOL,22.0,,-1.5323039293289185,predicted,-1.5323039293289185
194,7742,GAMMA-HEPTALACTONE,44.0,,-0.4571395218372345,predicted,-0.4571395218372345
195,7757,METHYL ACETOACETATE,14.0,1.27510486,0.0,experimental,0.10554590104196916
196,7761,DIETHYL MALONATE,30.0,0.27002221,0.0,experimental,-0.5686005125678958
197,7765,DIETHOXYETHANE,70.0,20.2516655,0.0,experimental,1.306460745462585
198,7770,PROPYL BUTYRATE,63.0,,0.7896935343742371,predicted,0.7896935343742371
199,7772,ISOAMYL PROPIONATE,45.0,,0.4624827802181244,predicted,0.4624827802181244
200,7775,ISOBUTYL HEXANOATE,44.0,,-1.0587230920791626,predicted,-1.0587230920791626
201,7778,CITRONELLYL FORMIATE,59.0,,-1.3404595851898193,predicted,-1.3404595851898193
202,7792,DIMETHYL OCTANOL,57.0,,-1.5200233459472656,predicted,-1.5200233459472656
203,7794,CITRONELLAL,62.0,,-0.7908384203910828,predicted,-0.7908384203910828
204,7795,ISOAMYL BUTYRATE,45.0,,0.12665334343910217,predicted,0.12665334343910217
205,7797,ETHYL HEPTANOATE,69.0,,-0.24913500249385834,predicted,-0.24913500249385834
206,7799,ETHYL OCTANOATE NATURAL,40.0,,-0.8280072808265686,predicted,-0.8280072808265686
207,7800,ETHYL LAURATE,28.0,,-3.319838523864746,predicted,-3.319838523864746
208,7802,3-HEPTANONE,65.0,1.40261535,0.0,experimental,0.14693858743872193
209,7803,PROPYL PROPIONATE,60.0,,0.9585763812065125,predicted,0.9585763812065125
210,7820,DIMETHYL SUCCINATE,40.0,0.3,0.0,experimental,-0.5228787452803376
211,7822,5-METHYLHEPTAN-3-ONE,58.0,2.0026647,0.0,experimental,0.3016082427886497
212,7824,METHYL CAPROATE,82.0,5.0,0.0,experimental,0.6989700043360189
213,7826,METHYL HEPTANOATE,49.0,,0.11763469874858856,predicted,0.11763469874858856
214,7852,PROPYL AMINE,90.0,254.27091124,0.0,experimental,2.4052966794421553
215,7865,METHYL FORMATE,47.0,480.03947845,0.0,experimental,2.6812769552254956
216,7888,HYDROXYCITRONELLAL,35.0,,-2.2063682079315186,predicted,-2.2063682079315186
217,7894,ISOPENTYLAMINE,100.0,,1.1339759826660156,predicted,1.1339759826660156
218,7895,"PENTANONE, '2-",68.0,12.00098696,0.0,experimental,1.0792169638522982
219,7909,4-METHYL-2-PENTANONE,62.0,15.75129539,0.0,experimental,1.1973162760681524
220,7915,ISOPROPYL ACETATE,81.0,39.75326931,0.0,experimental,1.5993728508517862
221,7916,ISOPROPENYL ACETATE,50.0,45.0,0.0,experimental,1.6532125137753437
222,7936,"2,4-LUTIDINE",78.0,5.65,0.0,experimental,0.7520484478194386
223,7937,"DIMETHYL PYRIDINE 2,6",88.0,5.65,0.0,experimental,0.7520484478194386
224,7938,"2,6-DIMETHYLPYRAZINE",71.0,,0.6436697840690613,predicted,0.6436697840690613
225,7945,ETHYL ISOVALERATE,69.0,,0.734180212020874,predicted,0.734180212020874
226,7957,"2,6-DIMETHYLHEPTAN-4-OL",33.0,0.21,0.0,experimental,-0.6777807052660807
227,7958,COGNAC HEPTANONE,31.0,1.72514188,0.0,experimental,0.2368248183468151
228,7966,CYCLOHEXANOL,47.0,1.12509253,0.0,experimental,0.05118824121707402
229,7976,2-METHYL PYRAZINE,69.5,,1.3789267539978027,predicted,1.3789267539978027
230,7981,BUTYL ISOVALERATE,53.0,,-0.4881225526332855,predicted,-0.4881225526332855
231,7983,BUTYL BUTYRATE,73.0,,0.11770104616880417,predicted,0.11770104616880417
232,7984,SILVANONE,31.0,,-4.492857933044434,predicted,-4.492857933044434
233,7989,5-HEXEN-2-ONE,85.0,,1.1165684461593628,predicted,1.1165684461593628
